Period,Demand
09-Apr,31616
09-May,33098
09-Jun,31780
09-Jul,27186
09-Aug,27286
09-Sep,26818
09-Oct,29399
09-Nov,28645
09-Dec,28637
10-Jan,27850
10-Feb,26478
10-Mar,29303
10-Apr,28238
10-May,33479
10-Jun,31635
10-Jul,29053
10-Aug,27918
10-Sep,25092
10-Oct,28734
10-Nov,31381
10-Dec,28907
11-Jan,28295
11-Feb,26604
11-Mar,27291
11-Apr,27827
11-May,31074
11-Jun,25253
11-Jul,24507
11-Aug,24558
11-Sep,22725
11-Oct,26083
11-Nov,23984
11-Dec,22773
12-Jan,24045
12-Feb,25105
12-Mar,26953
12-Apr,30346
12-May,27564
12-Jun,28008
12-Jul,22535
12-Aug,21630
12-Sep,20602
12-Oct,20675
12-Nov,22853
12-Dec,20708
13-Jan,20243
13-Feb,19210
13-Mar,19415
13-Apr,21688
13-May,25741
13-Jun,18428
13-Jul,20294
13-Aug,18805
13-Sep,19645
13-Oct,17626
13-Nov,17558
13-Dec,17652
14-Jan,16519
14-Feb,16850
14-Mar,17090
14-Apr,17301
14-May,20739
14-Jun,20827
14-Jul,17083
14-Aug,21815
14-Sep,21146
14-Oct,27604
14-Nov,24882
14-Dec,19496
15-Jan,17150
15-Feb,15201
15-Mar,11550
15-Apr,9505
15-May,10110
15-Jun,11296
15-Jul,10944
15-Aug,13905
15-Sep,15029
15-Oct,14145
15-Nov,11367
15-Dec,11287
16-Jan,10846
16-Feb,9064
16-Mar,10626
16-Apr,7158
16-May,7558
